,Date,Study,Study Link,Journal,Method,Result,Measure of Evidence,Added on
0,2020-04-24,STAT2 signaling as double-edged sword restricting viral dissemination but driving severe pneumonia in SARS-CoV-2 infected hamsters,https://doi.org/10.1101/2020.04.23.056838,biorxiv,RT qPCR,"STAT2 signaling plays a double-edged role, driving severe lung injury on the one hand, yet restricting systemic virus dissemination on the other",-,5/11/20
1,2020-04-20,"SARS-coronavirus-2 replication in Vero E6 cells: replication kinetics, rapid adaptation and cytopathology",https://doi.org/10.1101/2020.04.20.049924,biorxiv,Genomic Analysis,mutations change or delete a putative ‘furin-like cleavage site’ in the region connecting the S1 and S2 domains and result in a very prominent phenotypic change in plaque assays,-,5/11/20
2,2020-04-18,Coronavirus Infection and PARP Expression Dysregulate the NAD Metabolome: A Potentially Actionable Component of Innate Immunity,https://doi.org/10.1101/2020.04.17.047480,biorxiv,Western Blot Analysis,"SARS-CoV-2 infection of cells, ferrets and a person strikingly dysregulates the NAD gene set by inducing a set of PARP family members that includes enzymes required for the innate immune response to CoVs",-,4/25/20
3,2020-04-17,Distinct early IgA profile may determine severity of COVID-19 symptoms: an immunological case series,https://doi.org/10.1101/2020.04.14.20059733,medRxiv,Flow cytometry/peptide microarray,"a case with more severe progression showed a delayed, but eventually very strong and broad SARS-CoV-2-specific IgA response",patients: 5,4/25/20
4,2020-03-23,Potential Factors for Prediction of Disease Severity of COVID-19 Patients,https://doi.org/10.1101/2020.03.20.20039818,medRxiv,Peripheral Blood Test,"ESR, D-D, age, ALB and IL6 were the major contributing factors for distinguishing severe patients from mild patients. Moreover, ESR was identified as the most powerful factor to predict disease progression of COVID-19 patients",patients: 43,4/8/20
5,2020-03-16,A Sequence Homology and Bioinformatic Approach Can Predict Candidate Targets for Immune Responses to SARS-CoV-2,https://doi.org/10.1016/j.chom.2020.03.002,Cell Host & Microbe,Sequence homology,Ten experimentally defined regions within SARS-CoV havehigh homology with SARS-CoV-2,-,4/8/20
6,2020-03-06,The potential role of IL-6 in monitoring severe case of coronavirus disease 2019,https://doi.org/10.1101/2020.03.01.20029769,medRxiv,Peripheral Blood Test,The increase of baseline IL-6 level suggests that it may positively correlate with the severity of COVID-19,patients: 69,4/8/20
7,2020-03-02,Comparative genomic analysis revealed specific mutation pattern between human coronavirus SARS-CoV-2 and Bat-SARSr-CoV RaTG13,https://doi.org/10.1101/2020.02.27.969006,biorxiv,Comparative Genomic Analysis,ratio of nucleotide substitutions to amino acid substitutions of spike gene (9.07) between SARS-CoV-2 WIV04 and Bat-SARSr-CoV RaTG13 was extensively higher than those from comparisons between other coronaviruses,patients: 21,4/8/20
8,2020-02-20,Candidate targets for immune responses to 2019-Novel Coronavirus (nCoV): sequence homology- and bioinformatic-based predictions,https://doi.org/10.1101/2020.02.12.946087,biorxiv,Immune Epitope Database and Analysis Resource (IEDB),Parallel bionformatic predictions identified a priori potential B and T cell epitopes for 2019-nCoV. The independent identification of the same regions using two approaches reflects the high probability that these regions are targets for immune recognition of 2019-nCoV,-,4/8/20
9,2020-02-17,"Optimizing diagnostic strategy for novel coronavirus pneumonia, a multi-center study in Eastern China",https://doi.org/10.1101/2020.02.13.20022673,medrxiv,"Combination - chest CT, RT-PCR, multi-plex PCR","11 of 20 co-infections in NCP cases, including regular respiratory virus, fungi and bacteria synchronously. Genomic analysis showed that 8 of 10 cases had no mutation in virus genome, while 2 cases had only one single mutation in Ngene",patients: 53,4/8/20
10,2020-02-14,Current Trends in Diagnostics of Viral Infections of Unknown Etiology Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7077230/,MDPI Viruses,High throughput sequencing (HTS),"HTS could not only augment diagnostics and help to choose the correct therapy, but also facilitateresearch in epidemiology, genetics and virolog",-,4/7/20
11,2020-02-12,"The immune vulnerability landscape of the 2019 Novel Coronavirus, SARS-CoV-2",https://doi.org/10.1101/2020.02.08.939553,biorxiv,Genomic Analysis,"SARS-CoV-2, along with related coronaviruses, used mutations to evade attack from the human immune system",-,4/7/20
12,2020-02-11,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19 biorxiv,https://www.biorxiv.org/content/10.1101/2020.02.05.935072v2,biorxiv,Computational Experiment,Three possible vaccine constructs were designed and one vaccine construct was selected as the best vaccine based on molecular docking study which is supposed to effectively act against SARS-CoV-2,patients: 4,4/7/20
13,2020-01-31,2019-nCoV: The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081861/,West J Emerg Med,2019-nCoV Tool (Algorithm),"modified 3I Tool will assist emergency and primary care clinicians, as well as out-of-hospital providers, in effectively managing persons with suspected or confirmed 2019-nCoV",-,4/7/20
