,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Serial Interval (days),Characteristic Related to Question 2,Excerpt,Added on
0,2020-05-16,The first 100 days of SARS-CoV-2 control in Vietnam,http://medrxiv.org/cgi/content/short/2020.05.12.20099242v1?rss=1,MedRxiv,Cross Sectional Simulation,Infector-Infectee Pairs: 33,-,-,mean: 3.24; 95% CI: 1.38-5.10,-,-,6/16/2020
1,2020-05-11,A rapid review of available evidence on the serial interval and generation time of COVID-19,http://medrxiv.org/cgi/content/short/2020.05.08.20095075v1?rss=1,MedRxiv,Systematic review and Meta-analysis,studies: 19,-,-,range of means: 3.1-7.5; range of medians: 1.9-6.0,-,-,6/16/2020
2,2020-05-09,Clinical onset serial interval and diagnostic serial interval of SARS-CoV-2/COVID-19 in South Korea,https://doi.org/10.1101/2020.05.05.20070946,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 76,-,-,"mean: 3.58; 95% CI: 2.62, 4.53",-,-,5/29/2020
3,2020-05-07,Estimation of the time-varying reproduction number of COVID-19 outbreakin China,https://doi.org/10.1016/j.ijheh.2020.113555,International Journal of Hygiene and Environmental Health,Retrospective Observational Study with Modeling,transmission events: 645,-,Respiratory; Blood,mean: 4.60±5.55,-,-,5/29/2020
4,2020-05-06,The epidemiologic parameters for COVID-19: A Systematic Review and Meta-Analysis,https://doi.org/10.1101/2020.05.02.20088385,MedRxiv,Systematic Review and Meta-analysis,studies: 76,-,-,overall: 4.45; 95% CI: 4.03-4.87,-,-,6/16/2020
5,2020-04-27,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study",https://doi.org/10.1016/s1473-3099(20)30287-5,The Lancet Infectious Diseases,Retrospective Observational Study,infector-infectee pairs: 48,mean: 45,Nasal,"mean: 6.3; 95% CI: 5.2, 7.6",-,-,5/2/2020
6,2020-04-27,COVID-19 serial interval estimates based on confirmed cases in public reports from 86 Chinese cities,https://doi.org/10.1101/2020.04.23.20075796,MedRxiv,Retrospective Observational Study,transmission events: 339,range: 0-86,-,mean: 5.29; 95% CI: 4.72-5.86,-,-,5/24/2020
7,2020-04-02,"Evolving epidemiology and transmission dynamics of coronavirus disease 2019 outside Hubei province, China: a descriptive and modelling study",https://www.medrxiv.org/content/10.1101/2020.02.21.20026328v1.full.pdf,MedRxiv,Retrospective Observational Study,clusters: 28,median: 44; range: 33-56,-,"mean: 5.1; 95% CI: 1.3, 11.6",-,-,4/10/2020
8,2020-03-26,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",https://www.nejm.org/doi/10.1056/NEJMoa2001316,New England Journal of Medicine,Retrospective Observational Study,infector-infectee pairs: 6,median: 59; range:15-89,Respiratory,"mean: 7.5; 95% CI: 5.3, 19",-,-,4/10/2020
9,2020-03-24,Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries,https://www.medrxiv.org/content/10.1101/2020.03.21.20040329v1.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 689,mean: 46.26; range: 5 days-90,-,"mean: 6.70 95% CI: 6.31, 7.10",-,-,4/10/2020
10,2020-03-23,"Epidemiological and clinical characteristics of COVID-19 in Shenzhen, the largest migrant city of China",https://doi.org/10.1101/2020.03.22.20035246,MedRxiv,Retrospective Observational Study,Infector-Infectee Pairs: 28,mean: 45.4,Sputum; Blood; broncho-alveolar lavage; Nasopharyngeal; Oropharyngeal,"mean: 5.5; 95% CI: 4.1,7.0",-,-,5/2/2020
11,2020-03-15,Analysis on epidemiological characteristics of new-type coronavirus pneumonia family aggregation epidemic in Zhejiang Province,http://rs.yiigle.com/yufabiao/1184842.htm,Chinese Journal of Preventative Medicine,Retrospective Observational Study,infector-infectee pairs: 94,median: 48; IQR: 37-56,-,mean: 3.00; IQR: 1.00-6.00,-,-,4/25/2020
12,2020-03-12,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,https://www.medrxiv.org/content/10.1101/2020.03.10.20032136v1.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 12,range:10-35,Respiratory; Throat,"mean: 1.9; 95% CI: 0.4, 6.2",-,-,4/25/2020
13,2020-03-08,Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole,https://www.medrxiv.org/content/10.1101/2020.03.06.20031955v1.full.pdf,MedRxiv,Retrospective Observational Study,"clusters: 124, 50",median: 47 (1st generation); range: 21-73 (1st generation); median: 45 (2nd generation); range: 7-83 (2nd generation),-,mean: 4.1±3.3,-,-,4/10/2020
14,2020-03-06,Close contacts and household transmission of SARS-CoV-2 in China: a content analysis based on local Heath Commissions' public disclosures.,https://doi.org/10.1101/2020.03.02.20029868,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 643,-,-,mean: 4.95±5.24 (within household); mean: 5.19±5.28 (non-household),-,-,5/2/2020
15,2020-03-06,Transmission interval estimates suggest pre-symptomatic spread of COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1.full.pdf,MedRxiv,Retrospective Observational Study,patients: 93,-,-,"mean: 4.56; 95% CI: 2.69, 6.42",-,-,4/10/2020
16,2020-03-06,Transmission interval estimates suggest pre-symptomatic spread of COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1.full.pdf,MedRxiv,Retrospective Observational Study,patients: 135,-,-,"mean: 4.22; 95% CI: 3.42, 5.01",-,-,4/10/2020
17,2020-03-06,"Epidemiologic Characteristics of COVID-19 in Guizhou, China",https://www.medrxiv.org/content/10.1101/2020.03.01.20028944v1.full.pdf,MedRxiv,Retrospective Observational Study,clusters: 57,median: 37; range: 1 month-89,Respiratory,mean: 6.37±4.15,-,-,4/10/2020
18,2020-03-04,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",https://doi.org/10.1101/2020.03.03.20028423,MedRxiv,Retrospective Observational Study,infector-Infectee pairs: 48,mean: 45,Nasal,"mean: 6.3; 95% CI: 5.2, 7.6",-,-,4/25/2020
19,2020-02-23,The serial interval of COVID-19 from publicly reported confirmed cases,https://www.medrxiv.org/content/10.1101/2020.02.19.20025452v4.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 468,mean: 45.2; range: 1-90,-,"mean: 3.96; 95% CI: 3.53, 4.39",-,-,4/10/2020
20,2020-02-13,Serial interval of novel coronavirus (2019-nCoV) infections,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf,International Journal of Infectious Diseases,Retrospective Observational Study,infector-infectee pairs: 28,-,-,"mean: 4.7; 95%CI: 3.7, 6.0",-,-,4/10/2020
21,2020-02-11,Estimation of the Time-Varying Reproduction Number of COVID-19 Outbreak in China,https://www.medrxiv.org/content/10.1101/2020.02.08.20021253v2.full.pdf,MedRxiv,Retrospective Observational Study,infector-infectee pairs: 71,-,-,mean: 4.41±3.17,-,-,4/10/2020
